transaction_id,items
1,"Milk,Bread,Butter,Eggs,Cheese"
2,"Milk,Bread,Butter,Eggs,Bacon"
3,"Milk,Bread,Butter,Cheese,Yogurt"
4,"Milk,Bread,Butter,Eggs,Cereal"
5,"Milk,Bread,Butter,Eggs,Cheese,Bananas"
6,"Milk,Bread,Butter,Eggs,Cheese,Jam"
7,"Milk,Bread,Butter,Cheese,Yogurt,Bananas"
8,"Milk,Bread,Butter,Eggs,Cheese,Bacon"
9,"Milk,Bread,Butter,Eggs,Cereal,Bananas"
10,"Milk,Bread,Butter,Eggs,Cheese,Yogurt"
11,"Milk,Bread,Butter,Eggs,Cheese,Bacon,Jam"
12,"Milk,Bread,Butter,Eggs,Cheese,Yogurt,Cereal"
13,"Milk,Bread,Butter,Eggs,Cheese,Bananas,Jam"
14,"Milk,Bread,Butter,Eggs,Cheese,Yogurt,Bacon"
15,"Milk,Bread,Butter,Eggs,Cheese,Yogurt,Bananas"
16,"Milk,Bread,Butter,Eggs,Cheese,Bacon,Cereal"
17,"Milk,Bread,Butter,Eggs,Cheese,Yogurt,Bananas,Jam"
18,"Milk,Bread,Butter,Eggs,Cheese,Yogurt,Bacon,Bananas"
19,"Milk,Bread,Butter,Eggs,Cheese,Yogurt,Bacon,Cereal"
20,"Milk,Bread,Butter,Eggs,Cheese,Yogurt,Bacon,Bananas,Jam"
